seqnames	start	end	width	strand	gene_id	Gene
chr9	92292461	92292593	133	-	100124534	SNORA84
chr2	69520043	69520174	132	-	100124535	SNORA36C
chr17	67740669	67740799	131	+	100124536	SNORA38B
chr2	61417244	61417378	135	-	100124537	SNORA70B
chr9	117180628	117181200	573	-	100124538	SNORA70C
chr14	91126425	91126553	129	+	100124539	SNORA11B
chrX	47388649	47388777	129	+	100124540	SNORA11C
chr12	53962308	53974956	12649	-	100124700	HOTAIR
chr19	10304803	10309880	5078	-	100125288	ZGLP1
chr3	125916620	125930024	13405	+	100125556	FAM86JP
chrX	147909431	147911817	2387	-	100126270	FMR1-AS1
chr20	58818226	58818313	88	-	100126296	MIR298
chr14	101041363	101041445	83	+	100126297	MIR300
chr5	136080470	136080597	128	-	100126299	VTRNA2-1
chrX	134540185	134540262	78	-	100126302	MIR450B
chrX	145994275	145994351	77	-	100126303	MIR890
chrX	146001053	146001131	79	-	100126304	MIR891B
chrX	145994784	145994860	77	-	100126306	MIR888
chrX	145997198	145997274	77	-	100126307	MIR892B
chr14	101064495	101064578	84	+	100126308	MIR541
chr8	99536786	99536861	76	-	100126309	MIR875
chr9	28863626	28863706	81	-	100126310	MIR876
chr15	45433050	45433129	80	+	100126311	MIR147B
chr17	12081899	12081996	98	+	100126313	MIR744
chr6	30584332	30584417	86	+	100126314	MIR877
chr14	100875033	100875104	72	+	100126315	MIR665
chr9	28888879	28888955	77	-	100126316	MIR873
chrX	74218547	74218618	72	-	100126317	MIR374B
chr22	21652981	21653058	78	+	100126318	MIR301B
chr2	56000714	56000795	82	-	100126319	MIR216B
chr12	24212421	24212495	75	+	100126320	MIR920
chr3	197674496	197674576	81	-	100126321	MIR922
chr18	39622123	39622175	53	-	100126323	MIR924
chrX	136550878	136550960	83	+	100126324	MIR934
chr19	53982307	53982397	91	+	100126325	MIR935
chr10	104048089	104048186	98	-	100126326	MIR936
chr10	29602264	29602346	83	-	100126327	MIR938
chr16	2271747	2271840	94	+	100126328	MIR940
chr20	63919449	63919520	72	+	100126329	MIR941-1
chr20	63919756	63919939	184	+	100126330	MIR941-4
chr1	117094643	117094728	86	+	100126331	MIR942
chr4	1986384	1986477	94	-	100126332	MIR943
chr11	79402022	79402109	88	-	100126333	MIR708
chr3	10394489	10394562	74	-	100126334	MIR885
chr14	101031987	101032064	78	+	100126335	MIR543
chr14	23417987	23418063	77	-	100126336	MIR208B
chrX	147259652	147259726	75	-	100126337	MIR509-3
chr8	143812957	143813042	86	-	100126338	MIR937
chr3	189829922	189830009	88	+	100126340	MIR944
chrX	146027794	146027872	79	-	100126341	MIR891A
chrX	145996669	145996743	75	-	100126342	MIR892A
chr5	137647572	137647649	78	-	100126343	MIR874
chr14	101047901	101047979	79	+	100126345	MIR889
chr1	154193665	154193743	79	-	100126346	MIR190B
chr5	15935182	15935260	79	+	100126347	MIR887
chr1	93846832	93846911	80	+	100126348	MIR760
chr1	166154743	166154798	56	-	100126349	MIR921
chr2	175167633	175167709	77	-	100126350	MIR933
chr4	110860582	110860647	66	-	100126354	MIR297
chr16	14309285	14309371	87	+	100126355	MIR365A
chr17	31575411	31575521	111	+	100126356	MIR365B
chr6	142133090	142135151	2062	+	100126572	GJE1
chr21	43322417	43332039	9623	-	100126693	LINC00322
chr11	19710934	19712619	1686	-	100126784	LOC100126784
chr3	4749192	4751590	2399	-	100126791	EGOT
chr3	10285754	10294903	9150	+	100126793	GHRLOS
chr5	129748094	129766732	18639	+	100127206	MINAR2
chr20	62663019	62666724	3706	-	100127888	SLCO4A1-AS1
chr7	43117896	43163187	45292	+	100127950	HECW1-IT1
chr12	52601467	52615305	13839	+	100127967	KRT73-AS1
chr8	90958471	90985238	26768	-	100127983	C8orf88
chr17	12760140	12790242	30103	-	100128006	LOC100128006
chr3	193993331	193993985	655	-	100128023	DPPA2P3
chr3	149658210	149661364	3155	+	100128025	WWTR1-AS1
chr10	94278681	94287478	8798	-	100128054	PLCE1-AS1
chr4	143513472	143514635	1164	-	100128055	SMARCA5-AS1
chr5	170308701	170312716	4016	-	100128059	LOC100128059
chr1	32361270	32364278	3009	-	100128071	FAM229A
chr9	92132398	92138629	6232	+	100128076	LOC100128076
chr16	27678940	27718806	39867	-	100128079	LOC100128079
chr7	28180322	28243917	63596	+	100128081	JAZF1-AS1
chr10	17386919	17445758	58840	+	100128098	ST8SIA6-AS1
chr15	101737099	101746870	9772	-	100128108	LOC100128108
chr6	167975924	167976939	1016	-	100128124	HGC6.3
chr8	73420004	73441526	21523	+	100128126	STAU2-AS1
chr10	133083073	133087790	4718	-	100128127	ADGRA1-AS1
chr19	22532626	22533494	869	+	100128139	LINC01233
chr3	169939353	169966734	27382	-	100128164	LOC100128164
chr6	148955628	148964684	9057	-	100128176	UST-AS1
chr12	98512973	98516422	3450	-	100128191	TMPO-AS1
chr14	65197254	65222443	25190	-	100128233	LINC02324
chr11	134032216	134067936	35721	+	100128239	LINC02731
chr19	56477567	56504362	26796	+	100128252	ZNF667-AS1
chr12	3296202	3366122	69921	-	100128253	LOC100128253
chr3	195908076	195911257	3182	+	100128262	TNK2-AS1
chr7	155067034	155072450	5417	-	100128264	HTR5A-AS1
chr15	75727670	75738623	10954	-	100128285	DNM1P35
chr20	61717506	61719748	2243	-	100128310	LOC100128310
chr7	81489204	81691406	202203	-	100128317	LOC100128317
chr7	130141707	130142618	912	+	100128325	LOC100128325
chr6	116494989	116545684	50696	-	100128327	TRAPPC3L
chr9	113102117	113111543	9427	-	100128385	FAM225B
chr11	100684162	100687955	3794	-	100128386	ARHGAP42-AS1
chr19	58002061	58011232	9172	+	100128398	LOC100128398
chrX	136639539	136642429	2891	+	100128420	LINC00892
chr11	72014291	72020910	6620	+	100128494	LOC100128494
chr20	18809728	18830153	20426	-	100128496	SCP2D1-AS1
chr9	116504283	116562293	58011	+	100128505	ASTN2-AS1
chr10	21174014	21175048	1035	+	100128511	NEBL-AS1
chr22	25102433	25112692	10260	-	100128531	KIAA1671-AS1
chr1	207801518	207879096	77579	-	100128537	MIR29B2CHG
chr12	126438837	126472790	33954	+	100128554	LINC02347
chr17	10383132	10623886	240755	+	100128560	MYHAS
chr19	5978403	6020363	41961	+	100128568	LOC100128568
chr19	3539154	3544030	4877	+	100128569	C19orf71
chr2	39786453	40255209	468757	+	100128590	SLC8A1-AS1
chrX	103880668	103919548	38881	-	100128594	TMSB15B-AS1
chr8	142995850	142996482	633	+	100128627	CDC42P3
chr3	38451027	38454820	3794	-	100128640	ACVR2B-AS1
chr19	35042902	35106307	63406	-	100128675	HPN-AS1
chr19	35399511	35419385	19875	+	100128682	LINC01531
chrX	151175192	151177836	2645	-	100128688	GPR50-AS1
chr15	25902119	26053123	151005	+	100128714	LINC02346
chr2	27070472	27071654	1183	-	100128731	OST4
chr8	30382119	30385401	3283	-	100128750	RBPMS-AS1
chr16	3032481	3039133	6653	+	100128770	LOC100128770
chr9	95759231	95876049	116819	-	100128782	LINC00476
chr1	100627049	100640613	13565	-	100128787	LINC01349
chr16	2737076	2752600	15525	-	100128788	SRRM2-AS1
chr10	25158072	25176276	18205	-	100128811	GPR158-AS1
chr7	152463786	152465549	1764	+	100128822	LINC01003
chr16	89711856	89718165	6310	+	100128881	VPS9D1-AS1
chr16	88512960	88531053	18094	-	100128882	LOC100128882
chr7	64612535	64614834	2300	+	100128885	LOC100128885
chr8	7298744	7355359	56616	-	100128890	FAM66B
chr18	22166898	22169878	2981	-	100128893	GATA6-AS1
chr2	174025280	174027163	1884	+	100128905	LINC01960
chr14	23099062	23104989	5928	-	100128908	LMLN2
chr14	104800596	104804712	4117	+	100128927	ZBTB42
chr22	48866770	48898386	31617	+	100128946	LINC01310
chr5	138332105	138337146	5042	+	100128966	LOC100128966
chr8	19084992	19259469	174478	-	100128993	LOC100128993
chr21	45827961	45837987	10027	-	100129027	PCBP3-AS1
chr2	158658337	158735002	76666	-	100129029	PKP4-AS1
chr1	93592199	93605573	13375	+	100129046	BCAR3-AS1
chr10	38164648	38212417	47770	+	100129055	CCNYL4
chr3	50116022	50156085	40064	-	100129060	SEMA3F-AS1
chr9	89639814	89719759	79946	+	100129066	UNQ6494
chr14	55496786	55580888	84103	-	100129075	KTN1-AS1
chr19	51415724	51417425	1702	+	100129083	SIGLEC10-AS1
chr6	73223544	73225770	2227	-	100129128	KHDC1L
chr8	11345748	11347502	1755	-	100129129	LOC100129129
chr1	104072983	104226678	153696	+	100129138	LOC100129138
chr2	219002215	219015721	13507	+	100129175	LOC100129175
chr6	28015122	28137293	122172	-	100129195	ZSCAN16-AS1
chr1	30718504	30726827	8324	+	100129196	MATN1-AS1
chr11	95151699	95234391	82693	+	100129203	LOC100129203
chr10	18001786	18010562	8777	-	100129213	SLC39A12-AS1
chr11	71878453	71884561	6109	+	100129216	DEFB131B
chr12	3483714	3492819	9106	-	100129223	THCAT155
chrX	146814106	146814726	621	-	100129239	CXorf51A
chr9	32551144	32568621	17478	+	100129250	SMIM27
chr1	111599655	111608723	9069	-	100129269	LINC01160
chr1	152719522	152720470	949	+	100129271	C1orf68
chr2	21123917	21143272	19356	+	100129278	TDRD15
chrX	71662998	71666767	3770	-	100129291	LOC100129291
chr3	112802478	112812819	10342	+	100129297	CD200R1L-AS1
chr13	77661376	77662626	1251	-	100129307	LOC100129307
chr14	97632647	97686658	54012	-	100129345	LINC02291
chr9	91118592	91182762	64171	+	100129347	LINC00484
chr3	47010824	47013465	2642	+	100129354	NRADDP
chr9	16203935	16410990	207056	-	100129385	C9orf92
chr15	50354959	50356034	1076	+	100129387	GABPB1-AS1
chr17	16788879	16790501	1623	+	100129396	FAM106C
chr1	155610243	155750137	139895	+	100129405	MSTO2P
chrX	72938163	72938958	796	+	100129407	FAM236A
chr7	50531759	50543463	11705	+	100129427	DDC-AS1
chr2	56173534	56185870	12337	-	100129434	LOC100129434
chr7	32580949	32761787	180839	-	100129460	DPY19L1P1
chr6	5003774	5080946	77173	+	100129461	LYRM4-AS1
chrX	3271544	3286138	14595	+	100129464	LINC01546
chr3	12514934	12561059	46126	-	100129480	MKRN2OS
chr10	42513510	42552822	39313	-	100129482	ZNF37BP
chr7	5426277	5428927	2651	-	100129484	LOC100129484
chrX	135118955	135120526	1572	-	100129515	ETDB
chr3	197505262	197506986	1725	-	100129516	LINC02012
chr6	159760258	159762332	2075	-	100129518	SOD2-OT1
chr1	2350414	2352820	2407	-	100129534	LOC100129534
chr15	78978889	78985926	7038	+	100129540	LOC100129540
chr19	23075210	23147221	72012	+	100129543	ZNF730
chr3	122886941	122892416	5476	+	100129550	LINC02035
chr4	76214040	76283783	69744	+	100129583	FAM47E
chr13	48576974	48578088	1115	-	100129597	LINC00462
chr7	3140234	3174654	34421	-	100129603	LOC100129603
chr1	99004276	99244794	240519	+	100129620	LOC100129620
chr8	66946501	66962591	16091	-	100129654	TCF24
chrX	138711452	138716617	5166	+	100129662	FGF13-AS1
chr9	24542952	24545946	2995	-	100129669	IZUMO3
chr16	88939789	88951524	11736	+	100129697	LOC100129697
chr5	91380349	91548799	168451	+	100129716	ARRDC3-AS1
chr9	137250219	137253497	3279	-	100129722	STPG3-AS1
chr2	26984776	27014612	29837	-	100129724	MAPRE3-AS1
chr2	43227210	43228855	1646	+	100129726	LINC01126
chr16	14301389	14331067	29679	+	100129781	MIR193BHG
chr5	42756818	42802439	45622	+	100129792	CCDC152
chr14	37171888	37173811	1924	+	100129794	SLC25A21-AS1
chr19	34542462	34545395	2934	-	100129800	ZNF807P
chr11	10541258	10599936	58679	+	100129827	IRAG1-AS1
chr13	110456396	110463287	6892	-	100129836	COL4A2-AS2
chr19	20537992	20565809	27818	-	100129842	ZNF737
chr7	100589402	100604206	14805	-	100129845	PCOLCE-AS1
chr4	140283724	140373403	89680	-	100129858	SCOC-AS1
chr18	49023703	49048474	24772	+	100129878	LOC100129878
chr4	760202	781859	21658	-	100129917	LOC100129917
chr1	42785007	42816619	31613	+	100129924	TMEM269
chr4	7030554	7046231	15678	-	100129931	LOC100129931
chr19	39638685	39642401	3717	+	100129935	LOC100129935
chr12	65851340	65882167	30828	-	100129940	HMGA2-AS1
chr2	134735464	134918710	183247	-	100129961	CCNT2-AS1
chr9	34889066	34895764	6699	-	100129969	FAM205C
chr15	52179999	52206915	26917	+	100129973	CERNA1
chr2	27705786	27715732	9947	-	100129995	LINC01460
chrX	48801377	48824982	23606	+	10013	HDAC6
chr16	90039761	90047773	8013	-	100130015	URAHP
chr4	68182292	68212470	30179	+	100130017	FTLP10
chr12	68805011	68805479	469	-	100130075	LOC100130075
chrX	149592512	149595314	2803	-	100130086	HSFX2
chr15	29674990	29679168	4179	+	100130111	LOC100130111
chr8	64373151	64383787	10637	+	100130155	MIR124-2HG
chr5	138032774	138037266	4493	+	100130172	LOC100130172
chr1	46674036	46692098	18063	+	100130197	EFCAB14-AS1
chr3	3700814	3800875	100062	-	100130207	LOC100130207
chr8	125859721	126292788	433068	-	100130231	LINC00861
chr12	132275391	132280900	5510	+	100130238	LOC100130238
chr1	234757619	234760056	2438	-	100130249	PP2672
chr20	19242302	19284596	42295	-	100130264	SLC24A3-AS1
chr12	75234740	75295112	60373	+	100130268	LOC100130268
chr6	10409340	10416446	7107	+	100130275	TFAP2A-AS1
chr16	8848105	8860417	12313	+	100130283	LOC100130283
chr8	60965802	60967775	1974	-	100130298	LOC100130298
chr8	73241329	73259502	18174	-	100130301	C8orf89
chrX	24362761	24365378	2618	+	100130302	SUPT20HL1
chr17	4899418	4902934	3517	+	100130311	C17orf107
chr1	237862175	237928321	66147	+	100130331	LOC100130331
chr19	34645380	34646838	1459	+	100130342	SCGB2B3P
chr11	65088372	65089375	1004	-	100130348	TMEM262
chr6	13273391	13295586	22196	-	100130357	LOC100130357
chr17	81375144	81385464	10321	-	100130370	LOC100130370
chr20	36147334	36155760	8427	-	100130373	LOC100130373
chr1	916870	919692	2823	-	100130417	LINC02593
chr22	17036570	17060825	24256	+	100130418	CECR7
chr2	240449315	240456714	7400	-	100130449	LOC100130449
chr2	213276552	213284205	7654	-	100130451	SPAG16-DT
chr11	10308313	10410838	102526	+	100130460	CAND1.11
chr6	137823673	137868233	44561	-	100130476	WAKMAR2
chr18	6511416	6590653	79238	+	100130480	LINC01387
chr19	17435509	17448668	13160	-	100130519	TMEM221
chr17	74560701	74567343	6643	-	100130520	CD300H
chr18	80147924	80179839	31916	+	100130522	PARD6G-AS1
chr10	44292569	44294649	2081	+	100130539	LINC02881
chr9	134054290	134058805	4516	+	100130548	LOC100130548
chr1	40690380	40692066	1687	-	100130557	NFYC-AS1
chr17	43338741	43389159	50419	-	100130581	LINC00910
chr20	63359988	63371177	11190	+	100130587	LOC100130587
chrX	126819729	126821786	2058	+	100130613	PRR32
chr7	32456963	32457758	796	-	100130673	LOC100130673
chr2	177283508	177392691	109184	-	100130691	LOC100130691
chr16	35504370	35506567	2198	-	100130700	TP53TG3HP
chr7	128866330	128872047	5718	+	100130705	ATP6V1FNB
chr22	17159384	17165445	6062	+	100130717	HDHD5-AS1
chr5	62561136	62581467	20332	+	100130733	LRRC70
chr8	91102619	91219236	116618	+	100130742	LRRC69
chr7	105565120	105600875	35756	-	100130771	EFCAB10
chr12	57726271	57728356	2086	+	100130776	AGAP2-AS1
chr19	55540656	55545543	4888	-	100130827	SBK3
chr7	56875385	56882146	6762	-	100130849	LOC100130849
chr15	63552912	63601589	48678	-	100130855	USP3-AS1
chr4	1172049	1208962	36914	-	100130872	LOC100130872
chr7	137953348	137957966	4619	+	100130880	CREB3L2-AS1
chr10	121928312	121951965	23654	+	100130887	ATE1-AS1
chr6	99520693	99589899	69207	+	100130890	TSTD3
chr16	70755035	70773251	18217	+	100130894	VAC14-AS1
chr17	75646243	75647975	1733	+	100130933	SMIM6
chr20	46455955	46457085	1131	-	100130934	ZNF663P
chrX	152733827	152740985	7159	+	100130935	CSAG4
chr17	5192027	5248182	56156	+	100130950	LOC100130950
chr9	135574935	135587112	12178	+	100130954	LINC01502
chr16	77199408	77213215	13808	+	100130958	SYCE1L
chr8	39522976	39580134	57159	+	100130964	LOC100130964
chr6	158869848	158919105	49258	+	100130967	C6orf99
chr11	67317871	67392074	74204	+	100130987	LOC100130987
chr7	50096036	50159830	63795	+	100130988	SPATA48
chr10	22252072	22258548	6477	+	100130992	LOC100130992
chr7	6637318	6658279	20962	+	100131017	ZNF316
chr6	38923029	38953099	30071	-	100131047	DNAH8-AS1
chr1	58785128	58901109	115982	+	100131060	LINC01135
chr5	81201341	81301565	100225	-	100131067	CKMT2-AS1
chr15	40039242	40076539	37298	+	100131089	SRP14-AS1
chr19	4679282	4685948	6667	+	100131094	DPP9-AS1
chr17	78107398	78111799	4402	-	100131096	NA
chr1	152079557	152080903	1347	-	100131107	LOC100131107
chr3	114351771	114388978	37208	+	100131117	ZBTB20-AS1
chr19	47968046	47992170	24125	-	100131137	BSPH1
chr12	110934590	110959093	24504	+	100131138	LINC01405
chr7	151409161	151413354	4194	+	100131176	WDR86-AS1
chr1	161037631	161038977	1347	-	100131187	TSTD1
chr9	136803927	136808848	4922	-	100131193	CCDC183-AS1
chr1	212051524	212052006	483	-	100131205	RPL21P28
chr20	10021978	10368776	346799	-	100131208	SNAP25-AS1
chr2	190504338	190534722	30385	-	100131211	NEMP2
chr10	75401519	75408982	7464	+	100131213	ZNF503-AS2
chr1	198777861	198937471	159611	-	100131234	MIR181A1HG
chr15	40281444	40282586	1143	-	100131244	ANKRD63
chr7	7078302	7079742	1441	-	100131257	LOC100131257
chr6	27759870	27763184	3315	+	100131289	LOC100131289
chr16	68013436	68015911	2476	-	100131303	DPEP2NB
chr2	129966592	129980466	13875	-	100131320	RAB6C-AS1
chr17	39057019	39112239	55221	+	100131347	RDM1P5
chr14	103187221	103189028	1808	-	100131366	LINC00605
chr11	33698261	33700801	2541	-	100131378	C11orf91
chr2	174334954	174338500	3547	+	100131390	SP9
chrX	149502087	149540959	38873	-	100131434	LINC00893
chr17	74579365	74592283	12919	-	100131439	CD300LD
chr17	752660	755336	2677	+	100131454	DBIL5P
chr7	10702676	10707406	4731	+	100131472	LOC100131472
chr20	47318502	47320754	2253	+	100131496	LOC100131496
chr11	71807591	71821548	13958	-	100131539	ZNF705E
chr3	194296191	194322871	26681	-	100131551	LINC00887
chr1	93262186	93346025	83840	-	100131564	CCDC18-AS1
chr2	162074857	162077911	3055	+	100131604	DPP4-DT
chr3	187702313	187733849	31537	+	100131635	LOC100131635
chr18	76794732	76822295	27564	-	100131655	ZNF236-DT
chr19	58559129	58574797	15669	+	100131691	MZF1-AS1
chr8	123196536	123202743	6208	-	100131726	FAM83A-AS1
chr12	109052350	109053952	1603	-	100131733	USP30-AS1
chrX	101418287	101533459	115173	+	100131755	ARMCX4
chr19	7629793	7639807	10015	+	100131801	PET100
chr6	135497422	135813990	316569	+	100131814	LINC00271
chrX	84934151	84934890	740	+	100131816	UBE2DNL
chr1	159194325	159207973	13649	-	100131825	CADM3-AS1
chr3	75678660	75785583	106924	-	100131827	ZNF717
chr5	169861303	169980495	119193	-	100131897	INSYN2B
chr21	30289145	30289514	370	-	100131902	KRTAP25-1
chr9	67717411	67719178	1768	-	100131997	FAM27E3
chr16	22349372	22437715	88344	-	100131998	RRN3P3
chrX	124332660	124336863	4204	+	100132015	TEX13D
chr1	148402516	148432545	30030	+	100132057	PDE4DIPP6
chr9	94332459	94363013	30555	+	100132077	LOC100132077
chr11	111414242	111418186	3945	-	100132078	LOC100132078
chr15	22480439	22484840	4402	-	100132101	HERC2P7
chr8	7955014	8008755	53742	+	100132103	FAM66E
chr1	151841877	151850385	8509	+	100132111	C2CD4D-AS1
chr10	88932390	88940340	7951	+	100132116	ACTA2-AS1
chr3	46581150	46626543	45394	+	100132146	FAM240A
chr1	16533886	16535649	1764	-	100132147	LINC01783
chr10	5510036	5526246	16211	-	100132159	CALML3-AS1
chrX	18890296	18894974	4679	+	100132163	PHKA2-AS1
chr16	22910	25123	2214	+	100132169	WASIR2
chr17	77722872	77728559	5688	-	100132174	LINC01987
chr2	62957326	63048640	91315	-	100132215	LOC100132215
chr13	27953526	27955370	1845	+	100132234	LINC00543
chr9	62837139	62838302	1164	-	100132249	LOC100132249
chr21	9068361	9129752	61392	-	100132288	TEKT4P2
chr16	31700590	31708581	7992	+	100132341	CLUHP3
chr9	40992249	41218410	226162	+	100132352	FRG1HP
chrX	49551278	49568218	16941	+	100132399	GAGE12D
chr9	138217068	138253217	36150	+	100132403	FAM157B
chr1	146064711	146229000	164290	-	100132406	NBPF10
chr1	143874793	143883575	8783	+	100132417	FCGR1CP
chr4	183321764	183322426	663	-	100132463	CLDN24
chr17	41084150	41085141	992	+	100132476	KRTAP4-7
chr18	55776727	55781722	4996	-	100132501	LINC01415
chr3	13933056	13936944	3889	+	100132526	FGD5P1
chr16	71564952	71578187	13236	+	100132529	TAT-AS1
chr9	66022661	66026675	4015	-	100132541	GXYLT1P3
chr12	95551582	95673999	122418	+	100132594	PGAM1P5
chrX	2752296	2774996	22701	+	100132596	XGY2
chr14	97749264	97763989	14726	-	100132612	LINC02312
chr1	71048855	71067184	18330	+	100132618	ZRANB2-AS1
chr3	49549306	49554366	5061	-	100132677	BSN-DT
chr11	112260265	112261396	1132	+	100132686	LOC100132686
chr7	154928460	154952188	23729	+	100132707	PAXIP1-AS2
chr2	130680050	130691691	11642	+	100132708	CYP4F30P
chr15	50944663	50945996	1334	+	100132724	DCAF13P3
chr6	139677639	139860476	182838	+	100132735	FILNC1
chrX	71697196	71706455	9260	+	100132741	LOC100132741
chr1	43685123	43708138	23016	-	100132774	KDM4A-AS1
chr8	109644115	109648084	3970	+	100132813	LOC100132813
